date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:22	2605555/2605555	---M--	200	added ('OK')	application/pdf	etag:%2227c1f3-4a2ef5a237800%22	https://courses.csail.mit.edu/6.006/spring11/lectures/lec25.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/lectures/lec25.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:58:22	15341/15341	---M--	200	added ('OK')	text/x-tex	etag:%223bed-49b3a78722e80%22	https://courses.csail.mit.edu/6.006/spring11/psets/macros.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/macros.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:23	11326/11326	---M--	200	added ('OK')	text/x-tex	etag:%222c3e-49b3a77e8da40%22	https://courses.csail.mit.edu/6.006/spring11/psets/clrscode.sty	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/clrscode.sty	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:25	110077/110077	---M--	200	added ('OK')	application/pdf	etag:%221adfd-49bb6e2025740%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps1.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps1.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:25	3214258/3214258	---M--	200	added ('OK')	application/pdf	etag:%22310bb2-4a28a1035f200%22	https://courses.csail.mit.edu/6.006/spring11/lectures/lec24.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/lectures/lec24.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:58:28	2961/2961	---M--	200	added ('OK')	text/x-tex	etag:%22b91-49b440c1ab180%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps1-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps1-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:30	73735/73735	---M--	200	added ('OK')	application/pdf	etag:%2212007-49de9e887d740%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps1_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps1_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:32	101796/101796	---M--	200	added ('OK')	application/pdf	etag:%2218da4-49ca98d7c9200%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps2.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps2.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:32	1647107/1647107	---M--	200	added ('OK')	application/x-gzip	etag:%22192203-49b68db3db100%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps1_codingpart1.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps1_codingpart1.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:32	3963/3963	---M--	200	added ('OK')	application/x-gzip	etag:%22f7b-49c58f22e0540%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps2_code.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps2_code.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:34	18143764/18143764	---M--	200	added ('OK')	application/pdf	etag:%22114da14-4a3198349bbc0%22	https://courses.csail.mit.edu/6.006/spring11/lectures/lec26.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/lectures/lec26.pdf	(from https://courses.csail.mit.edu/6.006/spring11/notes.shtml)
15:58:34	9095093/9095093	---M--	200	added ('OK')	application/x-gzip	etag:%228ac7b5-49b3a4bebddc0%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps1_codingpart2.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps1_codingpart2.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:34	2215/2215	---M--	200	added ('OK')	text/x-tex	etag:%228a7-49c54e3178d00%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps2-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps2-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:36	110275/110275	---M--	200	added ('OK')	application/pdf	etag:%221aec3-49df3e86e5040%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps2_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps2_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:36	103490/103490	---M--	200	added ('OK')	application/pdf	etag:%2219442-49d6e070b7f40%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps3.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps3.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:37	1559/1559	---M--	200	added ('OK')	application/x-gzip	etag:%22617-49d6e06fc3d00%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps3_code.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps3_code.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:39	387394/387394	---M--	200	added ('OK')	application/x-gzip	etag:%225e942-49d6e070b7f40%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps3_data.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps3_data.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:39	1900/1900	---M--	200	added ('OK')	text/x-tex	etag:%2276c-49d6e1e96b800%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps3-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps3-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:41	178362/178362	---M--	200	added ('OK')	application/pdf	etag:%222b8ba-49dfc1e544040%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps3_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps3_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:42	86466/86466	---M--	200	added ('OK')	application/pdf	etag:%22151c2-49e74888a42c0%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps4.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps4.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:43	110605/110605	---M--	200	added ('OK')	application/x-gzip	etag:%221b00d-49fb4b006adc0%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps4_code.tar.gz	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps4_code.tar.gz	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:43	1902/1902	---M--	200	added ('OK')	text/x-tex	etag:%2276e-49e74a1282400%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps4-template.tex	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps4-template.tex	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
15:58:45	53933/53933	---M--	200	added ('OK')	application/pdf	etag:%22d2ad-4a031c6bd9ec0%22	https://courses.csail.mit.edu/6.006/spring11/psets/ps4_sol.pdf	/home/dobrinskiy/Downloads/intro_to_algos_mit/intro-to-algos-mit/courses.csail.mit.edu/6.006/spring11/psets/ps4_sol.pdf	(from https://courses.csail.mit.edu/6.006/spring11/psets.shtml)
